UUN,RID_1,RID_2
B191522,RGI60-16.02296,RGI60-16.01186
B219261,RGI60-16.02305,RGI60-16.01300
B220459,RGI60-16.02254,RGI60-16.01289
B215821,RGI60-16.02486,RGI60-16.00397
B219215,RGI60-16.02146,RGI60-16.00986
B237211,RGI60-16.02137,RGI60-16.01051
B241110,RGI60-16.02416,RGI60-16.01147
B236996,RGI60-16.02169,RGI60-16.01061
B250760,RGI60-16.02177,RGI60-16.01286
B251589,RGI60-16.02265,RGI60-16.01062
B250895,RGI60-16.02564,RGI60-16.01025
B235724,RGI60-16.02434,RGI60-16.01060
B237702,RGI60-16.02179,RGI60-16.01146
B246297,RGI60-16.02262,RGI60-16.01014
B237378,RGI60-16.02361,RGI60-16.00987
B236445,RGI60-16.02563,RGI60-16.00984
B251115,RGI60-16.02183,RGI60-16.01099
B237023,RGI60-16.02603,RGI60-16.00332
B236524,RGI60-16.02060,RGI60-16.01053
B246406,RGI60-16.02174,RGI60-16.01159
B250462,RGI60-16.02562,RGI60-16.01160
B238167,RGI60-16.02391,RGI60-16.01275
B249574,RGI60-16.02309,RGI60-16.01052
B252478,RGI60-16.02483,RGI60-16.01279
B246409,RGI60-16.02433,RGI60-16.00982
B251107,RGI60-16.02317,RGI60-16.00433
B237061,RGI60-16.02531,RGI60-16.01128
B237010,RGI60-16.02358,RGI60-16.01023
B242182,RGI60-16.02383,RGI60-16.00980
B239406,RGI60-16.02517,RGI60-16.01150
B237694,RGI60-16.02410,RGI60-16.00370
B237808,RGI60-16.02497,RGI60-16.01059
B237386,RGI60-16.02186,RGI60-16.00331
B246646,RGI60-16.02308,RGI60-16.01048
B248936,RGI60-16.02569,RGI60-16.01196
B237892,RGI60-16.02283,RGI60-16.00341
B237383,RGI60-16.02488,RGI60-16.01078
B248862,RGI60-16.02561,RGI60-16.00218
